# Tools/apidoc_secrets.txt -- GENERATED, do not edit by hand.
#
# Source: the client's own APIDocumentation, exported by
# Tools/APIDump and converted by Tools/apidoc_import.py.
# Regenerate after every content patch.
#
#   H | build | interface | generated
#   F | function            | secret return aspects | structures with secret fields
#   A | function            | secret argument policy | aspects added
#   X | function            | forbidden aspects checked (argument)
#   S | structure | field   | ConditionalSecret,NeverSecret,...
#
# Only F records taint a value in Tools/lint_secret_values.py.
# The rest are recorded so the file stays useful as the linter grows.

H|12.1.0|120100|2026-09-13
A|C_AuctionHouse.GetItemSearchResultsQuantity|AllowedWhenUntainted|
A|C_AuctionHouse.GetMaxCommoditySearchResultPrice|AllowedWhenUntainted|
A|C_AuctionHouse.GetMaxItemSearchResultBid|AllowedWhenUntainted|
A|C_AuctionHouse.GetMaxItemSearchResultBuyout|AllowedWhenUntainted|
A|C_AuctionHouse.GetNumCommoditySearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.GetNumItemSearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.GetOwnedAuctionInfo|AllowedWhenUntainted|
A|C_AuctionHouse.GetOwnedAuctionType|AllowedWhenUntainted|
A|C_AuctionHouse.GetReplicateItemBattlePetInfo|AllowedWhenUntainted|
A|C_AuctionHouse.GetReplicateItemInfo|AllowedWhenUntainted|
A|C_AuctionHouse.GetReplicateItemLink|AllowedWhenUntainted|
A|C_AuctionHouse.GetReplicateItemTimeLeft|AllowedWhenUntainted|
A|C_AuctionHouse.GetTimeLeftBandInfo|AllowedWhenUntainted|
A|C_AuctionHouse.HasFullCommoditySearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.HasFullItemSearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.HasSearchResults|AllowedWhenUntainted|
A|C_AuctionHouse.IsFavoriteItem|AllowedWhenUntainted|
A|C_AuctionHouse.IsSellItemValid|AllowedWhenUntainted|
A|C_AuctionHouse.MakeItemKey|AllowedWhenUntainted|
A|C_AuctionHouse.PlaceBid|AllowedWhenUntainted|
A|C_AuctionHouse.PostCommodity|AllowedWhenUntainted|
A|C_AuctionHouse.PostItem|AllowedWhenUntainted|
